image_id,wind_speed,storm_id,relative_time,ocean
abs_000,43,abs,0,2
abs_001,44,abs,1800,2
abs_002,45,abs,5400,2
abs_003,52,abs,17999,2
abs_004,53,abs,19799,2
abs_005,62,abs,32399,2
abs_006,63,abs,34199,2
abs_007,65,abs,37799,2
abs_008,65,abs,39599,2
abs_009,65,abs,41399,2
abs_010,65,abs,43199,2
abs_011,65,abs,44999,2
abs_012,65,abs,48599,2
abs_013,65,abs,50404,2
abs_014,65,abs,52200,2
abs_015,65,abs,54001,2
abs_016,65,abs,55799,2
abs_017,65,abs,59400,2
abs_018,64,abs,61200,2
abs_019,64,abs,63000,2
abs_020,64,abs,64800,2
abs_021,63,abs,66600,2
abs_022,62,abs,70200,2
abs_023,62,abs,72000,2
abs_024,61,abs,73800,2
abs_025,61,abs,75600,2
abs_026,61,abs,77400,2
abs_027,60,abs,81000,2
abs_028,59,abs,82800,2
abs_029,59,abs,84600,2
abs_030,59,abs,86400,2
abs_031,58,abs,88200,2
abs_032,57,abs,91800,2
abs_033,55,abs,104398,2
abs_034,55,abs,106199,2
abs_035,55,abs,118799,2
abs_036,55,abs,120599,2
abs_037,55,abs,124199,2
abs_038,54,abs,125998,2
abs_039,54,abs,127799,2
abs_040,54,abs,129599,2
abs_041,53,abs,131399,2
abs_042,52,abs,134999,2
abs_043,52,abs,136799,2
abs_044,51,abs,138600,2
abs_045,51,abs,140400,2
abs_046,51,abs,142200,2
abs_047,50,abs,145799,2
abs_048,50,abs,147602,2
abs_049,50,abs,149400,2
abs_050,50,abs,151200,2
abs_051,50,abs,153000,2
abs_052,50,abs,156600,2
abs_053,50,abs,158400,2
abs_054,50,abs,160200,2
abs_055,50,abs,162000,2
abs_056,50,abs,163800,2
acd_000,30,acd,0,1
acd_001,30,acd,1800,1
acd_002,30,acd,3600,1
acd_003,30,acd,5400,1
acd_004,30,acd,12598,1
acd_005,30,acd,14400,1
acd_006,30,acd,16200,1
acd_007,30,acd,18000,1
acd_008,30,acd,21599,1
acd_009,30,acd,23398,1
acd_010,30,acd,25199,1
acd_011,30,acd,26998,1
acd_012,30,acd,28798,1
acd_013,30,acd,32398,1
acd_014,30,acd,34199,1
acd_015,30,acd,35999,1
acd_016,30,acd,37799,1
acd_017,30,acd,39599,1
acd_018,30,acd,43198,1
acd_019,30,acd,44998,1
acd_020,30,acd,46798,1
acd_021,30,acd,48598,1
acd_022,30,acd,50398,1
acd_023,30,acd,54000,1
acd_024,30,acd,55800,1
acd_025,30,acd,57600,1
acd_026,30,acd,59400,1
acd_027,30,acd,61200,1
acd_028,30,acd,64800,1
acd_029,31,acd,66600,1
acd_030,31,acd,68401,1
acd_031,32,acd,70200,1
acd_032,32,acd,72000,1
acd_033,33,acd,75600,1
acd_034,33,acd,77400,1
acd_035,35,acd,86400,1
acd_036,35,acd,88200,1
acd_037,35,acd,90000,1
acd_038,35,acd,91800,1
acd_039,35,acd,98999,1
acd_040,35,acd,100799,1
acd_041,35,acd,102601,1
acd_042,35,acd,104400,1
acd_043,36,acd,107999,1
acd_044,37,acd,109799,1
acd_045,38,acd,111598,1
acd_046,38,acd,113399,1
acd_047,39,acd,115199,1
acd_048,41,acd,118798,1
acd_049,42,acd,120598,1
acd_050,43,acd,122399,1
acd_051,43,acd,124198,1
acd_052,44,acd,125998,1
acd_053,46,acd,129599,1
acd_054,47,acd,131398,1
acd_055,48,acd,133198,1
acd_056,48,acd,134998,1
acd_057,49,acd,136798,1
acd_058,51,acd,140400,1
acd_059,52,acd,142200,1
acd_060,53,acd,144000,1
acd_061,53,acd,145800,1
acd_062,54,acd,147600,1
acd_063,55,acd,151200,1
acd_064,55,acd,153000,1
acd_065,55,acd,154800,1
acd_066,55,acd,156601,1
acd_067,55,acd,158400,1
acd_068,55,acd,162000,1
acd_069,55,acd,163800,1
acd_070,55,acd,172800,1
acd_071,56,acd,174601,1
acd_072,56,acd,176400,1
acd_073,57,acd,178200,1
acd_074,58,acd,185399,1
acd_075,59,acd,187199,1
acd_076,59,acd,188999,1
acd_077,60,acd,190798,1
acd_078,60,acd,194399,1
acd_079,60,acd,196199,1
acd_080,60,acd,197998,1
acd_081,60,acd,199799,1
acd_082,60,acd,201598,1
acd_083,60,acd,205198,1
acd_084,60,acd,206998,1
acd_085,60,acd,208798,1
acd_086,60,acd,210599,1
acd_087,60,acd,212398,1
acd_088,60,acd,215999,1
acd_089,59,acd,217798,1
acd_090,59,acd,219599,1
acd_091,58,acd,221398,1
acd_092,58,acd,223198,1
acd_093,57,acd,226800,1
acd_094,57,acd,228600,1
acd_095,56,acd,230400,1
acd_096,56,acd,232200,1
acd_097,55,acd,234000,1
acd_098,55,acd,237600,1
acd_099,54,acd,239400,1
acd_100,54,acd,241200,1
acd_101,53,acd,243000,1
acd_102,53,acd,244800,1
acd_103,52,acd,248400,1
acd_104,49,acd,259200,1
acd_105,47,acd,261000,1
acd_106,46,acd,262801,1
acd_107,45,acd,264600,1
acd_108,40,acd,271798,1
acd_109,39,acd,273598,1
acd_110,37,acd,275398,1
acd_111,36,acd,277198,1
acd_112,35,acd,280798,1
acd_113,35,acd,282599,1
acd_114,35,acd,284399,1
acd_115,35,acd,286199,1
acd_116,35,acd,287998,1
acd_117,35,acd,291599,1
acd_118,35,acd,293399,1
acd_119,35,acd,295198,1
acd_120,35,acd,296999,1
acd_121,35,acd,298798,1
acd_122,35,acd,302399,1
aek_000,25,aek,0,1
aek_001,25,aek,3600,1
aek_002,25,aek,7200,1
aek_003,25,aek,10800,1
aek_004,25,aek,14400,1
aek_005,25,aek,18000,1
aek_006,25,aek,21600,1
aek_007,25,aek,25200,1
aek_008,25,aek,28800,1
aek_009,25,aek,32400,1
aek_010,25,aek,36000,1
aek_011,25,aek,39600,1
aek_012,30,aek,43200,1
aek_013,30,aek,46800,1
aek_014,30,aek,50400,1
aek_015,30,aek,54000,1
aek_016,30,aek,57600,1
aek_017,30,aek,61200,1
aek_018,35,aek,64800,1
aek_019,35,aek,68400,1
aek_020,35,aek,72000,1
aek_021,35,aek,75600,1
aek_022,35,aek,79200,1
aek_023,35,aek,82800,1
aek_024,35,aek,86400,1
aek_025,35,aek,90000,1
aek_026,35,aek,93600,1
aek_027,35,aek,97200,1
aek_028,35,aek,100800,1
aek_029,35,aek,104400,1
aek_030,35,aek,108000,1
aek_031,35,aek,111600,1
afs_000,45,afs,0,2
afs_001,44,afs,1798,2
afs_002,44,afs,3599,2
afs_003,44,afs,5399,2
afs_004,43,afs,7198,2
afs_005,42,afs,10799,2
afs_006,42,afs,12598,2
afs_007,41,afs,16198,2
afs_008,40,afs,21597,2
afs_009,41,afs,23397,2
afs_010,41,afs,25197,2
afs_011,42,afs,28797,2
afs_012,43,afs,32397,2
afs_013,44,afs,35997,2
afs_014,44,afs,37798,2
afs_015,44,afs,39597,2
afs_016,45,afs,43197,2
afs_017,46,afs,44997,2
afs_018,46,afs,46797,2
afs_019,46,afs,48597,2
afs_020,47,afs,50397,2
afs_021,48,afs,53999,2
afs_022,48,afs,55798,2
afs_023,49,afs,57597,2
afs_024,49,afs,59397,2
afs_025,49,afs,61198,2
afs_026,50,afs,64799,2
afs_027,49,afs,66598,2
afs_028,49,afs,68398,2
afs_029,49,afs,70200,2
afs_030,48,afs,72000,2
afs_031,47,afs,75598,2
afs_032,47,afs,77398,2
afs_033,46,afs,79198,2
afs_034,46,afs,80998,2
afs_035,46,afs,82798,2
afs_036,45,afs,86398,2
afs_037,45,afs,88200,2
afs_038,45,afs,89998,2
afs_039,45,afs,91799,2
afs_040,45,afs,93599,2
afs_041,45,afs,97198,2
afs_042,45,afs,98999,2
afs_043,45,afs,102598,2
afs_044,45,afs,107997,2
afs_045,45,afs,109798,2
afs_046,45,afs,111597,2
afs_047,45,afs,115196,2
afs_048,45,afs,118797,2
afs_049,45,afs,122399,2
afs_050,45,afs,124198,2
afs_051,45,afs,125997,2
afs_052,45,afs,129598,2
afs_053,44,afs,131397,2
afs_054,44,afs,133197,2
afs_055,44,afs,134997,2
afs_056,43,afs,136797,2
afs_057,42,afs,140397,2
afs_058,42,afs,142197,2
afs_059,41,afs,143997,2
afs_060,41,afs,145797,2
afs_061,41,afs,147598,2
afs_062,40,afs,151198,2
afs_063,40,afs,152998,2
afs_064,40,afs,154798,2
afs_065,40,afs,156598,2
afs_066,40,afs,158400,2
afs_067,40,afs,161998,2
afs_068,40,afs,163799,2
afs_069,40,afs,165598,2
afs_070,40,afs,167398,2
afs_071,40,afs,169198,2
afs_072,40,afs,172798,2
afs_073,39,afs,174598,2
afs_074,39,afs,176400,2
afs_075,39,afs,178199,2
afs_076,38,afs,179998,2
afs_077,37,afs,183598,2
afs_078,37,afs,185398,2
afs_079,36,afs,188998,2
afs_080,35,afs,194397,2
afs_081,34,afs,196198,2
afs_082,34,afs,197997,2
afs_083,33,afs,201597,2
afs_084,32,afs,205197,2
afs_085,31,afs,208797,2
afs_086,26,afs,253798,2
afs_087,26,afs,255598,2
afs_088,25,afs,259198,2
afs_089,25,afs,261000,2
afs_090,25,afs,262798,2
afs_091,25,afs,264599,2
afs_092,25,afs,266399,2
afs_093,25,afs,269998,2
afs_094,25,afs,271799,2
afs_095,25,afs,275398,2
afs_096,25,afs,280797,2
afs_097,25,afs,282598,2
afs_098,25,afs,284397,2
afs_099,25,afs,287997,2
afs_100,25,afs,291597,2
afs_101,25,afs,295197,2
afs_102,25,afs,296997,2
afs_103,25,afs,298798,2
afs_104,25,afs,302396,2
afs_105,25,afs,304197,2
afs_106,25,afs,305997,2
afs_107,25,afs,307797,2
afs_108,25,afs,309597,2
afs_109,25,afs,313197,2
afs_110,25,afs,314997,2
afs_111,25,afs,316797,2
afs_112,25,afs,318598,2
afs_113,25,afs,320398,2
afs_114,25,afs,323998,2
afs_115,25,afs,325798,2
afs_116,25,afs,327598,2
afs_117,25,afs,329398,2
afs_118,25,afs,331200,2
afs_119,25,afs,334798,2
afs_120,25,afs,336599,2
afs_121,25,afs,338398,2
afs_122,25,afs,340198,2
afs_123,25,afs,341998,2
afs_124,25,afs,345598,2
afs_125,25,afs,347398,2
afs_126,25,afs,349200,2
afs_127,25,afs,350999,2
afs_128,25,afs,352798,2
afs_129,25,afs,356398,2
afs_130,25,afs,358198,2
afs_131,25,afs,361798,2
afs_132,25,afs,367197,2
afs_133,25,afs,368998,2
afs_134,25,afs,370797,2
afs_135,25,afs,374397,2
afs_136,25,afs,377997,2
afs_137,25,afs,381597,2
afs_138,25,afs,383399,2
afs_139,25,afs,385198,2
afs_140,25,afs,388797,2
afs_141,25,afs,390598,2
afs_142,25,afs,392397,2
afs_143,25,afs,394197,2
afs_144,25,afs,395997,2
afs_145,25,afs,399599,2
afs_146,25,afs,401397,2
afs_147,25,afs,403198,2
afs_148,25,afs,404998,2
afs_149,25,afs,406798,2
afs_150,25,afs,410398,2
afs_151,26,afs,412198,2
afs_152,26,afs,413998,2
afs_153,26,afs,415798,2
afs_154,27,afs,417598,2
afs_155,28,afs,421198,2
afs_156,28,afs,422998,2
afs_157,29,afs,424798,2
afs_158,29,afs,426598,2
afs_159,29,afs,428398,2
afs_160,30,afs,431998,2
afs_161,31,afs,433800,2
afs_162,32,afs,435598,2
afs_163,33,afs,437399,2
afs_164,34,afs,439199,2
afs_165,35,afs,442798,2
afs_166,36,afs,444598,2
afs_167,38,afs,448199,2
afs_168,40,afs,453597,2
afs_169,40,afs,455398,2
afs_170,40,afs,457197,2
afs_171,40,afs,460797,2
afs_172,40,afs,464397,2
afs_173,40,afs,467997,2
afs_174,40,afs,469797,2
afs_175,40,afs,471598,2
afs_176,40,afs,475197,2
afs_177,41,afs,476997,2
afs_178,41,afs,478797,2
afs_179,41,afs,480597,2
afs_180,42,afs,482397,2
afs_181,43,afs,485997,2
afs_182,43,afs,487799,2
afs_183,44,afs,489597,2
afs_184,44,afs,491398,2
afs_185,44,afs,493199,2
afs_186,45,afs,496798,2
afs_187,46,afs,498599,2
afs_188,46,afs,500398,2
afs_189,46,afs,502198,2
afs_190,47,afs,503998,2
afs_191,48,afs,507598,2
afs_192,48,afs,509399,2
afs_193,49,afs,511198,2
afs_194,49,afs,512999,2
afs_195,49,afs,514798,2
afs_196,50,afs,518398,2
afs_197,51,afs,520198,2
afs_198,51,afs,522000,2
afs_199,51,afs,523800,2
afs_200,52,afs,525599,2
afs_201,53,afs,529198,2
afs_202,53,afs,530998,2
afs_203,54,afs,534598,2
afs_204,55,afs,539999,2
afs_205,55,afs,541798,2
afs_206,55,afs,543597,2
afs_207,55,afs,547197,2
afs_208,55,afs,550797,2
afs_209,55,afs,554397,2
afs_210,55,afs,556199,2
afs_211,55,afs,557997,2
afs_212,55,afs,561597,2
afs_213,56,afs,563397,2
afs_214,57,afs,565197,2
afs_215,58,afs,566997,2
afs_216,59,afs,568797,2
afs_217,60,afs,572397,2
afs_218,61,afs,574197,2
afs_219,62,afs,575998,2
afs_220,63,afs,577798,2
agl_000,22,agl,0,2
agl_001,23,agl,3600,2
agl_002,32,agl,86399,2
agl_003,33,agl,90000,2
agl_004,40,agl,172800,2
agl_005,40,agl,176400,2
agl_006,40,agl,180000,2
agl_007,45,agl,225001,2
agl_008,45,agl,226801,2
agl_009,45,agl,230401,2
agl_010,45,agl,232203,2
agl_011,45,agl,234001,2
agl_012,45,agl,235802,2
agl_013,45,agl,237602,2
agl_014,45,agl,241201,2
agl_015,45,agl,243002,2
agl_016,45,agl,246601,2
agl_017,45,agl,252000,2
agl_018,46,agl,253801,2
agl_019,46,agl,255600,2
agl_020,47,agl,259200,2
agl_021,48,agl,262800,2
agl_022,49,agl,266400,2
agl_023,49,agl,268200,2
agl_024,49,agl,270001,2
agl_025,50,agl,273599,2
agl_026,50,agl,275400,2
agl_027,50,agl,277200,2
agl_028,50,agl,279000,2
agl_029,50,agl,280800,2
agl_030,50,agl,284400,2
agl_031,50,agl,286200,2
agl_032,50,agl,288000,2
agl_033,50,agl,289801,2
agl_034,50,agl,291601,2
agl_035,50,agl,295201,2
agl_036,49,agl,297001,2
agl_037,49,agl,298801,2
agl_038,49,agl,300601,2
agl_039,48,agl,302403,2
agl_040,47,agl,306001,2
agl_041,47,agl,307802,2
agl_042,46,agl,309601,2
agl_043,46,agl,311401,2
agl_044,46,agl,313201,2
agl_045,45,agl,316801,2
agl_046,45,agl,318601,2
agl_047,45,agl,320403,2
agl_048,45,agl,322202,2
agl_049,45,agl,324001,2
agl_050,45,agl,327601,2
agl_051,45,agl,329401,2
agl_052,45,agl,333001,2
agl_053,45,agl,338400,2
agl_054,44,agl,340201,2
agl_055,44,agl,342000,2
agl_056,43,agl,345600,2
agl_057,42,agl,349200,2
agl_058,41,agl,352800,2
agl_059,41,agl,354602,2
agl_060,41,agl,356401,2
agl_061,40,agl,360000,2
agl_062,39,agl,361801,2
agl_063,39,agl,363600,2
agl_064,39,agl,365400,2
agl_065,38,agl,367200,2
agl_066,37,agl,370802,2
agl_067,37,agl,372600,2
agl_068,36,agl,374401,2
agl_069,36,agl,376201,2
agl_070,36,agl,378001,2
agl_071,35,agl,381601,2
agl_072,34,agl,383401,2
agl_073,34,agl,385201,2
agl_074,34,agl,387001,2
agl_075,33,agl,388801,2
agl_076,32,agl,392401,2
agl_077,32,agl,394201,2
agl_078,31,agl,396001,2
agl_079,31,agl,397801,2
agl_080,31,agl,399601,2
agl_081,30,agl,403201,2
agl_082,30,agl,405003,2
agl_083,30,agl,406801,2
agl_084,30,agl,408602,2
agl_085,30,agl,410402,2
agl_086,30,agl,414001,2
agl_087,30,agl,415801,2
agl_088,30,agl,419402,2
agl_089,30,agl,424800,2
agl_090,31,agl,426601,2
agl_091,31,agl,428400,2
agl_092,32,agl,432000,2
agl_093,33,agl,435600,2
agl_094,34,agl,439200,2
agl_095,34,agl,441000,2
agl_096,34,agl,442801,2
agl_097,35,agl,446400,2
agl_098,36,agl,448200,2
agl_099,36,agl,450000,2
agl_100,36,agl,451800,2
agl_101,37,agl,453600,2
agl_102,38,agl,457200,2
agl_103,38,agl,459002,2
agl_104,39,agl,460800,2
agl_105,39,agl,462601,2
agl_106,39,agl,464402,2
agl_107,40,agl,468001,2
agl_108,40,agl,469802,2
agl_109,40,agl,471601,2
agl_110,40,agl,473401,2
agl_111,40,agl,475201,2
agl_112,40,agl,478801,2
agl_113,40,agl,480602,2
agl_114,40,agl,482401,2
